ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.87 min;Peak 23.94 min;Peak 24.21 min;OD 600;OD standardabweichung;CDW_calc;RF [mg/L];RF standardabweichung;SampleVolume [g]
18.01.2022 16:33;0.08;29.46107405;0;8.277397334;;111400;;0.1597;#DIV/0!;0.05859393;9.689655172;2.258818101;4.8
19.01.2022 07:52;15.42;27.77424318;1.100281856;8.807693021;;94848;;2.441333333;0.020599353;0.8957252;78.02298851;0.856071089;3.54
19.01.2022 09:07;16.65;26.5061572;2.199784231;9.123123705;;103310;;4.113666667;0.070811958;1.5093043;118.6321839;1.258660053;4.8
19.01.2022 10:14;17.77;23.81512865;2.171809495;9.128439952;;107190;;5.899;0.475179966;2.1643431;168.3333333;3.020015145;4.42
19.01.2022 11:40;19.22;22.49489708;3.720726428;9.043379992;37089;80348;;7.947333333;0.43704729;2.9158766;239.1264368;0.497715749;4.64
19.01.2022 12:45;20.32;22.12395231;4.363192644;9.216601056;142390;;144130;11.49;0.3911841;4.215681;342.183908;4.308045364;4.55
19.01.2022 13:42;21.25;21.01111798;4.929009817;8.924650465;215000;;156060;13.945;0.504752415;5.1164205;431.3793103;13.72504762;5.09
19.01.2022 14:51;22.4;19.63281519;5.528950971;8.924650465;388410;;158450;15.27;0.272809457;5.602563;513.045977;0.995431499;4.05
19.01.2022 15:47;23.33;18.44729307;6.113822143;8.89939829;555530;;187040;17.825;0.342198773;6.5399925;638.2183908;15.86331829;3.72
20.01.2022 07:49;39.38;2.714533574;7.486576191;7.899500742;4229600;;750560;44.15333333;0.608796627;16.199858;2514.022989;49.17431603;5
20.01.2022 08:59;40.55;2.741989018;9.071435895;9.923218951;6013100;;973790;45.95;0.212837967;16.859055;2753.448276;95.86765054;3.16
20.01.2022 09:41;41.23;1.715273925;6.765901968;7.891526371;4541500;;706460;47.92666667;1.080015432;17.584294;2888.16092;151.2364157;3.71
20.01.2022 10:39;42.22;1.621056323;6.887847564;8.03993828;4916700;;753040;46.89;0.918477;17.203941;2857.701149;104.254521;3.3
20.01.2022 11:31;43.08;1.413106024;6.85883352;8.01158496;4990300;;729600;48.47333333;1.0105609;17.784866;3037.701149;47.60660899;0.79
20.01.2022 12:54;44.45;1.221668497;6.603596537;8.775795536;5220300;;796140;50.66666667;1.337809154;18.5896;3140.229885;152.1476586;4.09
20.01.2022 13:45;45.32;1.117258801;6.39339628;8.814781351;2655800;;894590;51.55333333;1.990535941;18.914918;3200;84.21421076;3.16
20.01.2022 14:31;46.07;1.192119329;6.925782345;10.22668808;6628600;;1172900;48.85666667;0.710234703;17.925511;3404.137931;106.0634948;3.09
20.01.2022 15:53;47.4;0.972199247;6.347666681;9.073062374;5654600;;1037600;47.41;2.158981241;17.394729;3501.83908;99.76508277;3.51
21.01.2022 07:56;63.48;0;5.179656518;8.748328257;6028500;;1086700;43.90666667;0.590451804;16.109356;3645.977011;273.3596267;3.18
21.01.2022 08:45;64.28;0;5.289130406;9.572789638;6479500;;1118400;46.26666667;1.426826315;16.97524;3919.08046;98.67211906;3.67
