Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
30.11.2021 15:46:29;  0.00;  0.037;;1.004
30.11.2021 15:47:30;  1.00;  0.038;;1.004
30.11.2021 15:48:30;  2.00;  0.037;;1.004
30.11.2021 15:49:30;  3.02;  0.038;;1.004
30.11.2021 15:50:30;  4.00;  0.036;;1.004
30.11.2021 15:51:30;  5.00;  0.036;;1.004
30.11.2021 15:52:30;  6.02;  0.038;;1.004
30.11.2021 15:53:29;  6.98;  0.038;;1.004
30.11.2021 15:54:30;  8.02;  0.036;;1.004
30.11.2021 15:55:29;  9.00;  0.036;;1.004
30.11.2021 15:56:29;  9.98;  0.037;;1.004
30.11.2021 15:57:30; 11.00;  0.037;;1.004
30.11.2021 15:58:30; 12.02;  0.037;;1.004
30.11.2021 15:59:29; 12.98;  0.037;;1.004
30.11.2021 16:00:30; 14.00;  0.036;;1.004
30.11.2021 16:01:30; 15.00;  0.036;;1.004
30.11.2021 16:02:30; 16.00;  0.037;;1.004
30.11.2021 16:03:30; 17.00;  0.036;;1.004
30.11.2021 16:04:30; 18.02;  0.037;;1.004
30.11.2021 16:05:29; 19.00;  0.037;;1.004
30.11.2021 16:06:29; 20.00;  0.036;;1.004
30.11.2021 16:07:29; 21.00;  0.037;;1.004
30.11.2021 16:08:29; 22.00;  0.040;;1.004
30.11.2021 16:09:29; 23.00;  0.040;;1.004
30.11.2021 16:10:29; 24.00;  0.040;;1.004
30.11.2021 16:11:29; 25.00;  0.039;;1.004
30.11.2021 16:12:29; 26.00;  0.039;;1.004
30.11.2021 16:13:29; 27.00;  0.040;;1.004
30.11.2021 16:14:29; 28.00;  0.041;;1.004
30.11.2021 16:15:29; 29.00;  0.041;;1.004
30.11.2021 16:16:29; 30.00;  0.042;;1.004
30.11.2021 16:17:29; 31.00;  0.042;;1.004
30.11.2021 16:18:29; 32.00;  0.041;;1.004
30.11.2021 16:19:29; 33.00;  0.043;;1.004
30.11.2021 16:20:29; 34.00;  0.044;;1.004
30.11.2021 16:21:29; 35.00;  0.043;;1.004
30.11.2021 16:22:29; 36.00;  0.042;;1.004
30.11.2021 16:23:29; 37.00;  0.044;;1.004
30.11.2021 16:24:29; 38.00;  0.043;;1.004
30.11.2021 16:25:29; 39.00;  0.043;;1.004
30.11.2021 16:26:29; 40.00;  0.041;;1.004
30.11.2021 16:27:29; 41.00;  0.042;;1.004
30.11.2021 16:28:29; 42.00;  0.043;;1.004
30.11.2021 16:29:29; 43.00;  0.043;;1.004
30.11.2021 16:30:29; 44.00;  0.041;;1.004
30.11.2021 16:31:29; 45.00;  0.043;;1.004
30.11.2021 16:32:29; 46.00;  0.042;;1.004
30.11.2021 16:33:29; 47.00;  0.042;;1.004
30.11.2021 16:34:29; 48.00;  0.041;;1.004
30.11.2021 16:35:29; 49.00;  0.042;;1.004
30.11.2021 16:36:29; 50.00;  0.041;;1.004
