Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
17.11.2021 09:17:40;  0.00;  0.039;;1.016
17.11.2021 09:18:41;  1.02;  0.039;;1.016
17.11.2021 09:19:40;  2.00;  0.040;;1.016
17.11.2021 09:20:40;  3.00;  0.040;;1.016
17.11.2021 09:21:40;  4.00;  0.040;;1.016
17.11.2021 09:22:40;  5.00;  0.039;;1.016
17.11.2021 09:23:40;  6.00;  0.039;;1.016
17.11.2021 09:24:40;  7.00;  0.038;;1.016
17.11.2021 09:25:40;  8.00;  0.038;;1.016
17.11.2021 09:26:40;  9.00;  0.039;;1.016
17.11.2021 09:27:40; 10.00;  0.038;;1.016
17.11.2021 09:28:40; 11.00;  0.038;;1.016
17.11.2021 09:29:40; 12.00;  0.039;;1.016
17.11.2021 09:30:40; 13.00;  0.039;;1.016
17.11.2021 09:31:40; 14.00;  0.039;;1.016
17.11.2021 09:32:40; 15.00;  0.039;;1.016
17.11.2021 09:33:40; 16.00;  0.039;;1.016
17.11.2021 09:34:40; 17.00;  0.038;;1.016
17.11.2021 09:35:40; 18.00;  0.039;;1.016
17.11.2021 09:36:40; 19.00;  0.037;;1.016
17.11.2021 09:37:40; 20.00;  0.036;;1.016
17.11.2021 09:38:40; 21.00;  0.036;;1.016
17.11.2021 09:39:40; 22.00;  0.037;;1.016
17.11.2021 09:40:40; 23.00;  0.036;;1.016
17.11.2021 09:41:40; 24.00;  0.035;;1.016
17.11.2021 09:42:40; 25.00;  0.036;;1.016
17.11.2021 09:43:40; 26.00;  0.035;;1.016
17.11.2021 09:44:40; 27.00;  0.035;;1.016
17.11.2021 09:45:40; 28.00;  0.035;;1.016
17.11.2021 09:46:40; 29.00;  0.035;;1.016
17.11.2021 09:47:40; 30.00;  0.034;;1.016
17.11.2021 09:48:40; 31.00;  0.035;;1.016
17.11.2021 09:49:40; 32.00;  0.036;;1.016
17.11.2021 09:50:40; 33.00;  0.036;;1.016
17.11.2021 09:51:40; 34.00;  0.035;;1.016
17.11.2021 09:52:40; 35.00;  0.036;;1.016
17.11.2021 09:53:40; 36.00;  0.034;;1.016
17.11.2021 09:54:40; 37.00;  0.037;;1.016
17.11.2021 09:55:40; 38.00;  0.035;;1.016
17.11.2021 09:56:40; 39.00;  0.037;;1.016
17.11.2021 09:57:40; 40.00;  0.037;;1.016
17.11.2021 09:58:40; 41.00;  0.035;;1.016
17.11.2021 09:59:40; 42.00;  0.036;;1.016
17.11.2021 10:00:40; 43.00;  0.035;;1.016
17.11.2021 10:01:40; 44.00;  0.034;;1.016
17.11.2021 10:02:40; 45.00;  0.035;;1.016
17.11.2021 10:03:40; 46.00;  0.034;;1.016
17.11.2021 10:04:40; 47.00;  0.036;;1.016
17.11.2021 10:05:40; 48.00;  0.035;;1.016
17.11.2021 10:06:40; 49.00;  0.036;;1.016
17.11.2021 10:07:40; 50.00;  0.038;;1.016
17.11.2021 10:08:40; 51.00;  0.038;;1.016
17.11.2021 10:09:40; 52.00;  0.038;;1.016
17.11.2021 10:10:40; 53.00;  0.037;;1.016
17.11.2021 10:11:40; 54.00;  0.036;;1.016
17.11.2021 10:12:40; 55.00;  0.039;;1.016
17.11.2021 10:13:40; 56.00;  0.037;;1.016
17.11.2021 10:14:40; 57.00;  0.037;;1.016
17.11.2021 10:15:40; 58.00;  0.039;;1.016
17.11.2021 10:16:40; 59.00;  0.038;;1.016
17.11.2021 10:17:40; 60.00;  0.037;;1.016
17.11.2021 10:18:40; 61.00;  0.037;;1.016
17.11.2021 10:19:40; 62.00;  0.039;;1.016
17.11.2021 10:20:40; 63.00;  0.039;;1.016
17.11.2021 10:21:40; 64.00;  0.039;;1.016
17.11.2021 10:22:40; 65.00;  0.038;;1.016
17.11.2021 10:23:40; 66.00;  0.039;;1.016
17.11.2021 10:24:40; 67.00;  0.040;;1.016
17.11.2021 10:25:40; 68.00;  0.039;;1.016
17.11.2021 10:26:40; 69.00;  0.040;;1.016
17.11.2021 10:27:40; 70.00;  0.041;;1.016
17.11.2021 10:28:40; 71.00;  0.043;;1.016
17.11.2021 10:29:40; 72.00;  0.044;;1.016
17.11.2021 10:30:40; 73.00;  0.043;;1.016
17.11.2021 10:31:40; 74.00;  0.044;;1.016
17.11.2021 10:32:40; 75.00;  0.045;;1.016
17.11.2021 10:33:40; 76.00;  0.043;;1.016
17.11.2021 10:34:40; 77.00;  0.044;;1.016
17.11.2021 10:35:40; 78.00;  0.044;;1.016
17.11.2021 10:36:40; 79.00;  0.044;;1.016
17.11.2021 10:37:40; 80.00;  0.045;;1.016
17.11.2021 10:38:40; 81.00;  0.044;;1.016
17.11.2021 10:39:40; 82.00;  0.044;;1.016
17.11.2021 10:40:40; 83.00;  0.046;;1.016
17.11.2021 10:41:40; 84.00;  0.044;;1.016
17.11.2021 10:42:40; 85.00;  0.044;;1.016
17.11.2021 10:43:40; 86.00;  0.043;;1.016
17.11.2021 10:44:40; 87.00;  0.043;;1.016
17.11.2021 10:45:40; 88.00;  0.043;;1.016
17.11.2021 10:46:40; 89.00;  0.042;;1.016
17.11.2021 10:47:40; 90.00;  0.044;;1.016
17.11.2021 10:48:40; 91.00;  0.044;;1.016
17.11.2021 10:49:40; 92.00;  0.044;;1.016
17.11.2021 10:50:40; 93.00;  0.043;;1.016
17.11.2021 10:51:40; 94.00;  0.044;;1.016
17.11.2021 10:52:40; 95.00;  0.044;;1.016
17.11.2021 10:53:40; 96.00;  0.042;;1.016
17.11.2021 10:54:40; 97.00;  0.043;;1.016
17.11.2021 10:55:40; 98.00;  0.043;;1.016
17.11.2021 10:56:40; 99.00;  0.043;;1.016
17.11.2021 10:57:40;100.00;  0.042;;1.016
17.11.2021 10:58:40;101.00;  0.043;;1.016
17.11.2021 10:59:40;102.00;  0.042;;1.016
17.11.2021 11:00:40;103.00;  0.043;;1.016
17.11.2021 11:01:40;104.00;  0.043;;1.016
17.11.2021 11:02:40;105.00;  0.042;;1.016
17.11.2021 11:03:40;106.00;  0.042;;1.016
17.11.2021 11:04:40;107.00;  0.042;;1.016
17.11.2021 11:05:40;108.00;  0.042;;1.016
17.11.2021 11:06:40;109.00;  0.042;;1.016
17.11.2021 11:07:40;110.00;  0.042;;1.016
17.11.2021 11:08:40;111.00;  0.041;;1.016
17.11.2021 11:09:40;112.00;  0.042;;1.016
17.11.2021 11:10:40;113.00;  0.042;;1.016
17.11.2021 11:11:40;114.00;  0.042;;1.016
17.11.2021 11:12:40;115.00;  0.041;;1.016
17.11.2021 11:13:40;116.00;  0.043;;1.016
17.11.2021 11:14:40;117.00;  0.042;;1.016
17.11.2021 11:15:40;118.00;  0.043;;1.016
17.11.2021 11:16:40;119.00;  0.042;;1.016
17.11.2021 11:17:40;120.00;  0.042;;1.016
17.11.2021 11:18:40;121.00;  0.042;;1.016
17.11.2021 11:19:40;122.00;  0.041;;1.016
17.11.2021 11:20:40;123.00;  0.042;;1.016
17.11.2021 11:21:40;124.00;  0.042;;1.016
17.11.2021 11:22:40;125.00;  0.042;;1.016
17.11.2021 11:23:40;126.00;  0.042;;1.016
17.11.2021 11:24:40;127.00;  0.042;;1.016
17.11.2021 11:25:40;128.00;  0.042;;1.016
17.11.2021 11:26:40;129.00;  0.043;;1.016
17.11.2021 11:27:40;130.00;  0.042;;1.016
17.11.2021 11:28:40;131.00;  0.042;;1.016
17.11.2021 11:29:40;132.00;  0.041;;1.016
17.11.2021 11:30:40;133.00;  0.042;;1.016
17.11.2021 11:31:40;134.00;  0.041;;1.016
17.11.2021 11:32:40;135.00;  0.042;;1.016
17.11.2021 11:33:40;136.00;  0.040;;1.016
17.11.2021 11:34:40;137.00;  0.042;;1.016
17.11.2021 11:35:40;138.00;  0.042;;1.016
17.11.2021 11:36:40;139.00;  0.041;;1.016
17.11.2021 11:37:40;140.00;  0.042;;1.016
17.11.2021 11:38:40;141.00;  0.042;;1.016
17.11.2021 11:39:40;142.00;  0.041;;1.016
17.11.2021 11:40:40;143.00;  0.042;;1.016
17.11.2021 11:41:40;144.00;  0.043;;1.016
17.11.2021 11:42:40;145.00;  0.041;;1.016
17.11.2021 11:43:40;146.00;  0.041;;1.016
17.11.2021 11:44:40;147.00;  0.041;;1.016
17.11.2021 11:45:40;148.00;  0.042;;1.016
17.11.2021 11:46:40;149.00;  0.042;;1.016
17.11.2021 11:47:40;150.00;  0.042;;1.016
17.11.2021 11:48:40;151.00;  0.042;;1.016
17.11.2021 11:49:40;152.00;  0.041;;1.016
17.11.2021 11:50:40;153.00;  0.042;;1.016
17.11.2021 11:51:40;154.00;  0.041;;1.016
17.11.2021 11:52:40;155.00;  0.042;;1.016
17.11.2021 11:53:40;156.00;  0.043;;1.016
17.11.2021 11:54:40;157.00;  0.041;;1.016
17.11.2021 11:55:40;158.00;  0.041;;1.016
17.11.2021 11:56:40;159.00;  0.042;;1.016
17.11.2021 11:57:40;160.00;  0.041;;1.016
17.11.2021 11:58:40;161.00;  0.041;;1.016
17.11.2021 11:59:40;162.00;  0.042;;1.016
17.11.2021 12:00:40;163.00;  0.040;;1.016
17.11.2021 12:01:40;164.00;  0.041;;1.016
17.11.2021 12:02:40;165.00;  0.041;;1.016
17.11.2021 12:03:40;166.00;  0.041;;1.016
17.11.2021 12:04:40;167.00;  0.042;;1.016
17.11.2021 12:05:40;168.00;  0.041;;1.016
17.11.2021 12:06:40;169.00;  0.041;;1.016
17.11.2021 12:07:40;170.00;  0.041;;1.016
17.11.2021 12:08:40;171.00;  0.041;;1.016
17.11.2021 12:09:40;172.00;  0.042;;1.016
17.11.2021 12:10:40;173.00;  0.043;;1.016
17.11.2021 12:11:40;174.00;  0.042;;1.016
17.11.2021 12:12:40;175.00;  0.042;;1.016
17.11.2021 12:13:40;176.00;  0.041;;1.016
17.11.2021 12:14:40;177.00;  0.041;;1.016
17.11.2021 12:15:40;178.00;  0.041;;1.016
17.11.2021 12:16:40;179.00;  0.041;;1.016
17.11.2021 12:17:40;180.00;  0.040;;1.016
17.11.2021 12:18:40;181.00;  0.041;;1.016
17.11.2021 12:19:40;182.00;  0.042;;1.016
17.11.2021 12:20:40;183.00;  0.041;;1.016
17.11.2021 12:21:40;184.00;  0.042;;1.016
17.11.2021 12:22:40;185.00;  0.041;;1.016
17.11.2021 12:23:40;186.00;  0.042;;1.016
17.11.2021 12:24:40;187.00;  0.041;;1.016
17.11.2021 12:25:40;188.00;  0.042;;1.016
17.11.2021 12:26:40;189.00;  0.042;;1.016
17.11.2021 12:27:40;190.00;  0.042;;1.016
17.11.2021 12:28:40;191.00;  0.040;;1.016
17.11.2021 12:29:40;192.00;  0.041;;1.016
17.11.2021 12:30:40;193.00;  0.042;;1.016
17.11.2021 12:31:40;194.00;  0.042;;1.016
17.11.2021 12:32:40;195.00;  0.042;;1.016
17.11.2021 12:33:40;196.00;  0.043;;1.016
