Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
14.12.2021 15:19:29;  0.00;  0.038;;1.021
14.12.2021 15:20:30;  1.02;  0.038;;1.021
14.12.2021 15:21:29;  1.98;  0.036;;1.021
14.12.2021 15:22:30;  3.00;  0.037;;1.021
14.12.2021 15:23:30;  4.02;  0.039;;1.021
14.12.2021 15:24:29;  5.00;  0.037;;1.021
14.12.2021 15:25:29;  6.00;  0.037;;1.021
14.12.2021 15:26:29;  7.00;  0.038;;1.021
14.12.2021 15:27:29;  7.98;  0.037;;1.021
14.12.2021 15:28:30;  9.00;  0.037;;1.021
14.12.2021 15:29:30; 10.00;  0.039;;1.021
14.12.2021 15:30:30; 11.00;  0.035;;1.021
14.12.2021 15:31:30; 12.00;  0.038;;1.021
14.12.2021 15:32:30; 13.00;  0.037;;1.021
14.12.2021 15:33:30; 14.00;  0.038;;1.021
14.12.2021 15:34:30; 15.00;  0.038;;1.021
14.12.2021 15:35:30; 16.02;  0.038;;1.021
14.12.2021 15:36:29; 16.98;  0.037;;1.021
14.12.2021 15:37:30; 18.00;  0.036;;1.021
14.12.2021 15:38:30; 19.00;  0.037;;1.021
14.12.2021 15:39:30; 20.02;  0.039;;1.021
14.12.2021 15:40:29; 20.98;  0.038;;1.021
14.12.2021 15:41:30; 22.00;  0.038;;1.021
14.12.2021 15:42:30; 23.02;  0.038;;1.021
14.12.2021 15:43:29; 23.98;  0.038;;1.021
14.12.2021 15:44:30; 25.02;  0.038;;1.021
14.12.2021 15:45:29; 26.00;  0.039;;1.021
14.12.2021 15:46:29; 27.00;  0.038;;1.022
14.12.2021 15:47:30; 28.00;  0.039;;1.021
14.12.2021 15:48:30; 29.00;  0.040;;1.021
14.12.2021 15:49:30; 30.02;  0.037;;1.021
14.12.2021 15:50:29; 30.98;  0.038;;1.021
14.12.2021 15:51:30; 32.00;  0.037;;1.022
14.12.2021 15:52:30; 33.02;  0.036;;1.021
14.12.2021 15:53:30; 34.00;  0.038;;1.021
14.12.2021 15:54:30; 35.00;  0.037;;1.022
14.12.2021 15:55:30; 36.02;  0.038;;1.022
14.12.2021 15:56:29; 36.98;  0.038;;1.022
14.12.2021 15:57:30; 38.00;  0.037;;1.021
14.12.2021 15:58:30; 39.00;  0.037;;1.022
14.12.2021 15:59:30; 40.00;  0.038;;1.022
14.12.2021 16:00:30; 41.02;  0.038;;1.022
14.12.2021 16:01:29; 41.98;  0.038;;1.022
14.12.2021 16:02:30; 43.00;  0.039;;1.022
14.12.2021 16:03:30; 44.00;  0.038;;1.022
14.12.2021 16:04:30; 45.00;  0.038;;1.022
14.12.2021 16:05:30; 46.00;  0.039;;1.022
14.12.2021 16:06:30; 47.00;  0.036;;1.022
14.12.2021 16:07:30; 48.02;  0.039;;1.022
14.12.2021 16:08:29; 48.98;  0.039;;1.022
14.12.2021 16:09:30; 50.00;  0.039;;1.022
14.12.2021 16:10:30; 51.00;  0.039;;1.022
14.12.2021 16:11:30; 52.02;  0.038;;1.022
14.12.2021 16:12:30; 53.00;  0.039;;1.022
14.12.2021 16:13:30; 54.02;  0.037;;1.022
14.12.2021 16:14:29; 55.00;  0.038;;1.022
14.12.2021 16:15:29; 56.00;  0.037;;1.022
14.12.2021 16:16:29; 57.00;  0.039;;1.022
14.12.2021 16:17:29; 58.00;  0.040;;1.022
14.12.2021 16:18:29; 59.00;  0.039;;1.022
14.12.2021 16:19:29; 60.00;  0.039;;1.022
14.12.2021 16:20:29; 61.00;  0.040;;1.022
14.12.2021 16:21:29; 62.00;  0.039;;1.022
14.12.2021 16:22:29; 63.00;  0.039;;1.022
14.12.2021 16:23:29; 64.00;  0.039;;1.022
14.12.2021 16:24:29; 65.00;  0.039;;1.022
14.12.2021 16:25:29; 66.00;  0.039;;1.022
14.12.2021 16:26:29; 67.00;  0.040;;1.022
14.12.2021 16:27:29; 68.00;  0.037;;1.022
14.12.2021 16:28:29; 69.00;  0.038;;1.022
14.12.2021 16:29:29; 70.00;  0.039;;1.022
14.12.2021 16:30:29; 71.00;  0.040;;1.022
14.12.2021 16:31:29; 72.00;  0.039;;1.022
14.12.2021 16:32:29; 73.00;  0.037;;1.022
14.12.2021 16:33:29; 74.00;  0.039;;1.022
