ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.87 min;Peak 23.94 min;Peak 24.21 min;OD 600;OD standardabweichung;CDW_berechnet [g/L];RF [mg/L];RF standardabweichung;SampleVolume [g]
14.12.2021 16:53;0.07;30.5417698;0;10.3285536;;110110;;0.1469;#DIV/0!;0.05389761;0.44137931;#DIV/0!;3.71
15.12.2021 08:53;16.07;30.19027137;0.941289462;10.80483141;;124580;;1.232266667;0.020259648;0.45211864;102.3103448;0.776436569;3.58
15.12.2021 10:34;17.75;28.73925259;1.431262762;10.86605996;;;;2.211333333;0.053799009;0.8113382;82.71264368;1.943412708;4.23
15.12.2021 11:24;18.59;29.5145166;1.740757029;10.72001482;;61317;;2.849;0.076602872;1.0452981;101.8505747;1.421899942;3.79
15.12.2021 12:39;19.84;32.11878317;1.749136695;11.0462325;;;;3.564333333;0.041198705;1.3077539;129.045977;1.877437641;4.23
15.12.2021 13:37;20.8;34.16269542;2.322748548;10.76197143;;;;4.366666667;0.164150338;1.60213;160.6436782;4.744272889;4.08
15.12.2021 14:31;21.7;36.93987348;2.568762893;10.83394007;64147;89712;;5.090333333;0.138193102;1.8676433;192.9310345;2.900858867;3.88
15.12.2021 15:40;22.85;42.32358828;3.194233811;11.45927426;109560;105410;;5.773666667;0.180876569;2.1183583;228.5517241;5.084774784;3.77
16.12.2021 08:16;39.45;50.17838618;5.124165752;9.152162462;1791000;;113830;34.45;0.801685724;12.639705;1734.942529;28.54858665;3.04
16.12.2021 09:32;40.72;51.09402254;5.127011677;9.6354665;2768100;;450370;42.3;0.995941765;15.51987;2015;4.632768566;3.68
16.12.2021 10:46;41.95;49.86812923;4.957837288;9.757421725;3065300;;542260;42.55;3.16933747;15.611595;2164.252874;60.52223512;4.4
16.12.2021 12:13;43.4;46.37584673;3.840021466;9.53509183;3095000;;482790;49.26333333;2.072783957;18.074717;2443.563218;88.63500041;4.03
16.12.2021 13:33;44.74;46.09964237;3.748082301;9.931069905;3479500;;589590;47.07333333;1.853707996;17.271206;2832.758621;111.7438254;5.34
16.12.2021 14:52;46.05;44.72997145;3.494241664;9.927054918;3729300;;608050;41.68666667;1.030258867;15.294838;2753.563218;103.7606395;4.04
16.12.2021 16:09;47.34;43.6402885;3.594481442;10.02592397;4088600;;701900;45.14;1.608508626;16.561866;2923.103448;94.28433733;4.28
17.12.2021 08:32;63.72;3.133897881;1.690004712;9.215398504;5923700;;866620;49.81333333;0.616143923;18.276512;4435.632184;155.4531305;5.15
