Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
18.01.2022 15:18:06;  0.00;  0.036;;1.030
18.01.2022 15:19:07;  1.02;  0.035;;1.030
18.01.2022 15:20:06;  1.98;  0.035;;1.030
18.01.2022 15:21:07;  3.02;  0.036;;1.030
18.01.2022 15:22:06;  4.00;  0.035;;1.030
18.01.2022 15:23:06;  5.00;  0.036;;1.030
18.01.2022 15:24:06;  6.00;  0.036;;1.030
18.01.2022 15:25:06;  7.00;  0.036;;1.030
18.01.2022 15:26:06;  7.98;  0.036;;1.030
18.01.2022 15:27:07;  9.00;  0.037;;1.029
18.01.2022 15:28:07; 10.00;  0.038;;1.030
18.01.2022 15:29:07; 11.00;  0.038;;1.030
18.01.2022 15:30:07; 12.02;  0.039;;1.030
18.01.2022 15:31:06; 12.98;  0.041;;1.030
18.01.2022 15:32:07; 14.00;  0.042;;1.030
18.01.2022 15:33:07; 15.02;  0.041;;1.030
18.01.2022 15:34:06; 15.98;  0.043;;1.030
18.01.2022 15:35:07; 17.00;  0.044;;1.030
18.01.2022 15:36:07; 18.00;  0.043;;1.030
18.01.2022 15:37:07; 19.02;  0.043;;1.030
18.01.2022 15:38:06; 20.00;  0.043;;1.030
18.01.2022 15:39:06; 21.00;  0.044;;1.030
18.01.2022 15:40:06; 21.98;  0.042;;1.030
18.01.2022 15:41:07; 23.02;  0.043;;1.030
18.01.2022 15:42:06; 24.00;  0.041;;1.030
18.01.2022 15:43:06; 25.00;  0.044;;1.030
18.01.2022 15:44:06; 26.00;  0.044;;1.030
18.01.2022 15:45:06; 26.98;  0.042;;1.030
18.01.2022 15:46:07; 28.02;  0.043;;1.030
18.01.2022 15:47:06; 29.00;  0.042;;1.030
18.01.2022 15:48:06; 30.00;  0.041;;1.030
18.01.2022 15:49:06; 31.00;  0.043;;1.030
18.01.2022 15:50:06; 32.00;  0.042;;1.030
18.01.2022 15:51:06; 32.98;  0.041;;1.030
18.01.2022 15:52:07; 34.00;  0.041;;1.030
