Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
07.12.2021 15:07:17;  0.00;  0.038;;1.004
07.12.2021 15:08:18;  1.02;  0.037;;1.004
07.12.2021 15:09:17;  2.00;  0.038;;1.004
07.12.2021 15:10:17;  3.00;  0.038;;1.004
07.12.2021 15:11:17;  4.00;  0.039;;1.004
07.12.2021 15:12:17;  5.00;  0.038;;1.004
07.12.2021 15:13:17;  6.00;  0.038;;1.004
07.12.2021 15:14:17;  7.00;  0.038;;1.004
07.12.2021 15:15:17;  8.00;  0.039;;1.004
07.12.2021 15:16:17;  9.00;  0.039;;1.004
07.12.2021 15:17:17; 10.00;  0.038;;1.004
07.12.2021 15:18:17; 11.00;  0.037;;1.004
07.12.2021 15:19:17; 12.00;  0.038;;1.004
07.12.2021 15:20:17; 13.00;  0.037;;1.004
07.12.2021 15:21:17; 14.00;  0.038;;1.004
07.12.2021 15:22:17; 15.00;  0.037;;1.004
07.12.2021 15:23:17; 16.00;  0.037;;1.004
07.12.2021 15:24:17; 17.00;  0.037;;1.004
07.12.2021 15:25:17; 18.00;  0.038;;1.004
07.12.2021 15:26:17; 19.00;  0.036;;1.004
07.12.2021 15:27:17; 20.00;  0.037;;1.004
07.12.2021 15:28:17; 21.00;  0.036;;1.004
07.12.2021 15:29:17; 22.00;  0.037;;1.004
07.12.2021 15:30:17; 23.00;  0.037;;1.004
07.12.2021 15:31:17; 24.00;  0.036;;1.004
07.12.2021 15:32:17; 25.00;  0.036;;1.004
07.12.2021 15:33:17; 26.00;  0.037;;1.004
07.12.2021 15:34:17; 27.00;  0.038;;1.004
07.12.2021 15:35:17; 28.00;  0.036;;1.004
07.12.2021 15:36:17; 29.00;  0.035;;1.004
07.12.2021 15:37:17; 30.00;  0.037;;1.004
07.12.2021 15:38:17; 31.00;  0.037;;1.004
07.12.2021 15:39:17; 32.00;  0.036;;1.003
07.12.2021 15:40:17; 33.00;  0.036;;1.003
07.12.2021 15:41:17; 34.00;  0.037;;1.003
07.12.2021 15:42:17; 35.00;  0.035;;1.003
07.12.2021 15:43:17; 36.00;  0.037;;1.003
07.12.2021 15:44:17; 37.00;  0.039;;1.003
07.12.2021 15:45:17; 38.00;  0.037;;1.003
07.12.2021 15:46:17; 39.00;  0.037;;1.003
07.12.2021 15:47:17; 40.00;  0.037;;1.003
07.12.2021 15:48:17; 41.00;  0.038;;1.003
07.12.2021 15:49:17; 42.00;  0.036;;1.003
07.12.2021 15:50:17; 43.00;  0.037;;1.003
07.12.2021 15:51:17; 44.00;  0.036;;1.003
07.12.2021 15:52:17; 45.00;  0.036;;1.003
07.12.2021 15:53:17; 46.00;  0.036;;1.003
07.12.2021 15:54:17; 47.00;  0.037;;1.003
07.12.2021 15:55:17; 48.00;  0.036;;1.003
07.12.2021 15:56:17; 49.00;  0.036;;1.003
07.12.2021 15:57:17; 50.00;  0.036;;1.003
07.12.2021 15:58:17; 51.00;  0.037;;1.003
07.12.2021 15:59:17; 52.00;  0.036;;1.003
07.12.2021 16:00:17; 53.00;  0.036;;1.003
07.12.2021 16:01:17; 54.00;  0.036;;1.003
07.12.2021 16:02:17; 55.00;  0.036;;1.003
07.12.2021 16:03:17; 56.00;  0.036;;1.003
07.12.2021 16:04:17; 57.00;  0.036;;1.003
07.12.2021 16:05:17; 58.00;  0.036;;1.003
07.12.2021 16:06:17; 59.00;  0.037;;1.003
07.12.2021 16:07:17; 60.00;  0.037;;1.003
07.12.2021 16:08:17; 61.00;  0.039;;1.003
07.12.2021 16:09:17; 62.00;  0.041;;1.003
07.12.2021 16:10:17; 63.00;  0.042;;1.003
07.12.2021 16:11:17; 64.00;  0.043;;1.003
07.12.2021 16:12:17; 65.00;  0.043;;1.003
07.12.2021 16:13:17; 66.00;  0.043;;1.003
07.12.2021 16:14:17; 67.00;  0.045;;1.003
07.12.2021 16:15:17; 68.00;  0.045;;1.003
07.12.2021 16:16:17; 69.00;  0.045;;1.003
07.12.2021 16:17:17; 70.00;  0.046;;1.003
07.12.2021 16:18:17; 71.00;  0.045;;1.003
07.12.2021 16:19:17; 72.00;  0.045;;1.003
07.12.2021 16:20:17; 73.00;  0.048;;1.003
07.12.2021 16:21:17; 74.00;  0.047;;1.003
07.12.2021 16:22:17; 75.00;  0.047;;1.003
07.12.2021 16:23:17; 76.00;  0.049;;1.003
07.12.2021 16:24:17; 77.00;  0.049;;1.003
07.12.2021 16:25:17; 78.00;  0.049;;1.003
07.12.2021 16:26:17; 79.00;  0.048;;1.003
07.12.2021 16:27:17; 80.00;  0.050;;1.003
07.12.2021 16:28:17; 81.00;  0.050;;1.003
07.12.2021 16:29:17; 82.00;  0.050;;1.003
07.12.2021 16:30:17; 83.00;  0.049;;1.003
07.12.2021 16:31:17; 84.00;  0.048;;1.003
07.12.2021 16:32:17; 85.00;  0.049;;1.003
07.12.2021 16:33:17; 86.00;  0.049;;1.003
07.12.2021 16:34:17; 87.00;  0.049;;1.003
07.12.2021 16:35:17; 88.00;  0.048;;1.003
07.12.2021 16:36:17; 89.00;  0.048;;1.003
07.12.2021 16:37:17; 90.00;  0.049;;1.003
07.12.2021 16:38:17; 91.00;  0.046;;1.003
07.12.2021 16:39:17; 92.00;  0.049;;1.003
07.12.2021 16:40:17; 93.00;  0.046;;1.003
07.12.2021 16:41:17; 94.00;  0.047;;1.003
07.12.2021 16:42:17; 95.00;  0.046;;1.003
07.12.2021 16:43:17; 96.00;  0.046;;1.003
07.12.2021 16:44:17; 97.00;  0.046;;1.003
07.12.2021 16:45:17; 98.00;  0.044;;1.003
07.12.2021 16:46:17; 99.00;  0.045;;1.003
07.12.2021 16:47:17;100.00;  0.045;;1.003
07.12.2021 16:48:17;101.00;  0.046;;1.003
07.12.2021 16:49:17;102.00;  0.045;;1.002
07.12.2021 16:50:17;103.00;  0.045;;1.003
07.12.2021 16:51:17;104.00;  0.045;;1.002
07.12.2021 16:52:17;105.00;  0.045;;1.002
07.12.2021 16:53:17;106.00;  0.045;;1.002
07.12.2021 16:54:17;107.00;  0.044;;1.002
07.12.2021 16:55:17;107.98;  0.045;;1.002
07.12.2021 16:56:18;109.02;  0.044;;1.002
07.12.2021 16:57:17;110.00;  0.044;;1.002
