ts;t;cX;cS;cE;cGly;cP
24.11.2020 10:06;0;NA;NA;NA;NA;NA
24.11.2020 10:16;0.166666667;1.85;8.87881829;0;0;1.014318195
24.11.2020 10:38;0.533333334;1.7;9.713888362;0;0;1.14820658
24.11.2020 11:00;0.9;1.85;10.94966176;0.417170712;0.176951155;1.142497377
24.11.2020 11:13;1.116666667;2.15;9.393542886;0.624728081;0.355882183;1.00497127
24.11.2020 11:26;1.333333333;2.2;9.222329993;0.780703198;0;0.967381474
24.11.2020 11:48;1.7;2.65;8.950126831;NA;0.741759443;1.010579425
24.11.2020 12:17;2.183333333;3.25;7.497532033;1.953086535;0.418084845;0.848650265
24.11.2020 12:49;2.716666667;3.55;6.802183265;2.584601068;0.763191569;0.847286119
24.11.2020 13:23;3.283333333;4.05;5.448768875;3.759205901;0.897129982;0.820710538
24.11.2020 13:43;3.616666667;4.9;3.853195022;4.378523987;0.778981057;0.739316505
24.11.2020 14:06;4;5.1;2.24520552;5.034257176;0.991223449;0.825055595
24.11.2020 14:21;4.25;5.75;1.281381905;4.689184881;0.914503368;0.644836776
24.11.2020 14:42;4.6;5.65;0.457532974;5.836521947;0.918859089;0.72830229
24.11.2020 14:58;4.866666667;5.95;0.298815364;6.437458247;1.199110121;0.87643842
24.11.2020 15:21;5.25;6.55;0.252801447;6.471956765;1.240984436;0.837585527
24.11.2020 15:38;5.533333333;6.65;0.223032846;6.266969361;1.154364989;0.837130811
24.11.2020 15:52;5.766666667;7.15;0;6.374123848;1.096255715;0.626142926
25.11.2020 08:40;22.56666667;30.7;0;0;0;0
25.11.2020 11:07;25.01666667;34.15;0;0;0;0
25.11.2020 12:00;25.9;34.7;0;0;0;0
