Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
09.12.2020 09:41:24;  0.00;  0.049;;1.003
09.12.2020 09:42:25;  1.00;  0.089;;1.003
09.12.2020 09:43:25;  2.00;  0.151;;1.002
09.12.2020 09:44:25;  3.02;  0.226;;1.003
09.12.2020 09:45:25;  4.00;  0.295;;1.002
09.12.2020 09:46:25;  5.00;  0.359;;1.003
09.12.2020 09:47:25;  6.02;  0.410;;1.003
09.12.2020 09:48:25;  7.00;  0.456;;1.003
09.12.2020 09:49:25;  8.00;  0.510;;1.003
09.12.2020 09:50:25;  9.02;  0.556;;1.002
09.12.2020 09:51:25; 10.02;  0.593;;1.003
09.12.2020 09:52:25; 11.00;  0.622;;1.003
09.12.2020 09:53:25; 12.02;  0.641;;1.003
09.12.2020 09:54:25; 13.02;  0.664;;1.003
09.12.2020 09:55:25; 14.00;  0.683;;1.003
09.12.2020 09:56:25; 15.02;  0.688;;1.003
09.12.2020 09:57:25; 16.02;  0.698;;1.003
09.12.2020 09:58:25; 17.00;  0.699;;1.003
09.12.2020 09:59:25; 18.00;  0.714;;1.003
09.12.2020 10:00:25; 19.02;  0.718;;1.003
09.12.2020 10:01:25; 20.00;  0.721;;1.003
09.12.2020 10:02:25; 21.00;  0.725;;1.003
09.12.2020 10:03:25; 22.02;  0.727;;1.003
09.12.2020 10:04:25; 23.00;  0.738;;1.003
09.12.2020 10:05:25; 24.00;  0.743;;1.003
09.12.2020 10:06:25; 25.02;  0.749;;1.003
09.12.2020 10:07:25; 26.02;  0.756;;1.003
09.12.2020 10:08:25; 27.00;  0.758;;1.003
09.12.2020 10:09:25; 28.02;  0.766;;1.003
09.12.2020 10:10:25; 29.02;  0.775;;1.003
09.12.2020 10:11:25; 30.00;  0.781;;1.003
09.12.2020 10:12:25; 31.02;  0.795;;1.003
09.12.2020 10:13:25; 32.02;  0.799;;1.003
09.12.2020 10:14:25; 33.00;  0.806;;1.003
09.12.2020 10:15:25; 34.00;  0.816;;1.003
09.12.2020 10:16:25; 35.02;  0.818;;1.003
09.12.2020 10:17:25; 36.00;  0.833;;1.003
09.12.2020 10:18:25; 37.00;  0.839;;1.003
09.12.2020 10:19:25; 38.02;  0.841;;1.003
09.12.2020 10:20:25; 39.00;  0.853;;1.003
09.12.2020 10:21:25; 40.00;  0.858;;1.003
09.12.2020 10:22:25; 41.02;  0.865;;1.003
09.12.2020 10:23:25; 42.02;  0.876;;1.003
09.12.2020 10:24:25; 43.00;  0.885;;1.003
09.12.2020 10:25:25; 44.02;  0.884;;1.003
09.12.2020 10:26:25; 45.02;  0.892;;1.003
09.12.2020 10:27:25; 46.00;  0.899;;1.003
09.12.2020 10:28:25; 47.00;  0.901;;1.003
09.12.2020 10:29:25; 48.02;  0.913;;1.003
09.12.2020 10:30:25; 49.00;  0.916;;1.003
09.12.2020 10:31:25; 50.00;  0.922;;1.003
09.12.2020 10:32:25; 51.02;  0.929;;1.003
09.12.2020 10:33:25; 52.00;  0.942;;1.003
09.12.2020 10:34:25; 53.00;  0.951;;1.003
09.12.2020 10:35:25; 54.02;  0.949;;1.003
09.12.2020 10:36:25; 55.02;  0.963;;1.003
09.12.2020 10:37:25; 56.00;  0.965;;1.003
09.12.2020 10:38:25; 57.02;  0.982;;1.003
09.12.2020 10:39:25; 58.02;  0.990;;1.003
09.12.2020 10:40:25; 59.00;  0.999;;1.003
09.12.2020 10:41:25; 60.02;  1.005;;1.003
09.12.2020 10:42:25; 61.02;  1.012;;1.003
09.12.2020 10:43:25; 62.00;  1.018;;1.003
09.12.2020 10:44:25; 63.00;  1.030;;1.003
09.12.2020 10:45:25; 64.02;  1.042;;1.003
09.12.2020 10:46:25; 65.00;  1.049;;1.003
09.12.2020 10:47:25; 66.00;  1.054;;1.003
09.12.2020 10:48:25; 67.02;  1.066;;1.003
09.12.2020 10:49:25; 68.00;  1.071;;1.003
09.12.2020 10:50:25; 69.00;  1.072;;1.003
09.12.2020 10:51:25; 70.02;  1.079;;1.003
09.12.2020 10:52:25; 71.02;  1.089;;1.003
09.12.2020 10:53:25; 72.00;  1.102;;1.003
09.12.2020 10:54:25; 73.02;  1.108;;1.003
09.12.2020 10:55:25; 74.02;  1.114;;1.003
09.12.2020 10:56:25; 75.00;  1.128;;1.003
09.12.2020 10:57:25; 76.02;  1.130;;1.003
09.12.2020 10:58:25; 77.02;  1.142;;1.003
09.12.2020 10:59:25; 78.00;  1.143;;1.003
09.12.2020 11:00:25; 79.00;  1.153;;1.003
09.12.2020 11:01:25; 80.02;  1.159;;1.003
09.12.2020 11:02:25; 81.00;  1.174;;1.003
09.12.2020 11:03:25; 82.00;  1.174;;1.003
09.12.2020 11:04:25; 83.02;  1.181;;1.003
09.12.2020 11:05:25; 84.00;  1.194;;1.003
09.12.2020 11:06:25; 85.00;  1.200;;1.003
09.12.2020 11:07:25; 86.02;  1.206;;1.003
09.12.2020 11:08:25; 87.02;  1.209;;1.003
09.12.2020 11:09:25; 88.00;  1.211;;1.003
09.12.2020 11:10:25; 89.02;  1.221;;1.003
09.12.2020 11:11:25; 90.02;  1.233;;1.003
09.12.2020 11:12:25; 91.00;  1.237;;1.003
09.12.2020 11:13:25; 92.00;  1.241;;1.003
09.12.2020 11:14:25; 93.02;  1.242;;1.003
09.12.2020 11:15:25; 94.00;  1.252;;1.003
09.12.2020 11:16:25; 95.00;  1.242;;1.003
09.12.2020 11:17:25; 96.02;  1.245;;1.003
09.12.2020 11:18:25; 97.00;  1.247;;1.003
09.12.2020 11:19:25; 98.00;  1.253;;1.003
09.12.2020 11:20:25; 99.02;  1.262;;1.003
09.12.2020 11:21:25;100.02;  1.260;;1.003
09.12.2020 11:22:25;101.00;  1.269;;1.003
09.12.2020 11:23:25;102.02;  1.274;;1.003
09.12.2020 11:24:25;103.02;  1.275;;1.003
09.12.2020 11:25:25;104.00;  1.281;;1.003
09.12.2020 11:26:25;105.02;  1.286;;1.003
09.12.2020 11:27:25;106.02;  1.281;;1.003
09.12.2020 11:28:25;107.00;  1.285;;1.003
09.12.2020 11:29:25;108.00;  1.285;;1.003
09.12.2020 11:30:25;109.02;  1.280;;1.003
09.12.2020 11:31:25;110.00;  1.282;;1.003
09.12.2020 11:32:25;111.00;  1.284;;1.003
09.12.2020 11:33:25;112.02;  1.282;;1.003
09.12.2020 11:34:25;113.00;  1.282;;1.003
09.12.2020 11:35:25;114.00;  1.279;;1.003
09.12.2020 11:36:25;115.02;  1.276;;1.003
09.12.2020 11:37:25;116.02;  1.261;;1.003
09.12.2020 11:38:25;117.00;  1.263;;1.003
09.12.2020 11:39:25;118.02;  1.246;;1.003
09.12.2020 11:40:25;119.02;  1.222;;1.003
09.12.2020 11:41:25;120.00;  1.215;;1.003
09.12.2020 11:42:25;121.02;  1.205;;1.003
09.12.2020 11:43:25;122.02;  1.194;;1.003
09.12.2020 11:44:25;123.00;  1.196;;1.003
09.12.2020 11:45:25;124.00;  1.189;;1.003
09.12.2020 11:46:25;125.02;  1.184;;1.003
09.12.2020 11:47:25;126.00;  1.181;;1.003
09.12.2020 11:48:25;127.00;  1.172;;1.003
09.12.2020 11:49:25;128.02;  1.158;;1.003
09.12.2020 11:50:25;129.00;  1.159;;1.003
09.12.2020 11:51:25;130.00;  1.148;;1.003
09.12.2020 11:52:25;131.02;  1.140;;1.003
09.12.2020 11:53:25;132.02;  1.133;;1.003
09.12.2020 11:54:25;133.00;  1.118;;1.003
09.12.2020 11:55:25;134.02;  1.097;;1.003
09.12.2020 11:56:25;135.02;  1.086;;1.003
09.12.2020 11:57:25;136.00;  1.076;;1.003
09.12.2020 11:58:25;137.00;  1.076;;1.003
09.12.2020 11:59:25;138.02;  1.075;;1.003
09.12.2020 12:00:25;139.00;  1.081;;1.003
09.12.2020 12:01:25;140.00;  1.073;;1.003
09.12.2020 12:02:25;141.02;  1.069;;1.003
09.12.2020 12:03:25;142.00;  1.067;;1.003
09.12.2020 12:04:25;143.00;  1.066;;1.003
09.12.2020 12:05:25;144.02;  1.061;;1.003
09.12.2020 12:06:25;145.02;  1.055;;1.002
09.12.2020 12:07:25;146.00;  1.050;;1.002
09.12.2020 12:08:25;147.02;  1.054;;1.002
09.12.2020 12:09:25;148.02;  1.055;;1.002
09.12.2020 12:10:25;149.00;  1.053;;1.003
09.12.2020 12:11:25;150.02;  1.058;;1.002
09.12.2020 12:12:25;151.02;  1.050;;1.002
09.12.2020 12:13:25;152.00;  1.053;;1.002
09.12.2020 12:14:25;153.00;  1.050;;1.002
